", 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
07:57:27 AM       tps      rtps      wtps   bread/s   bwrtn/s;;;;;;;;7:57:27;AM;tps;rtps;wtps;bread/s;bwrtn/s
08:13:17 AM      3,50      0,00      3,50      0,00     79,20;;;;;;;;8:13:17;AM;3,5;0;3,5;0;79,2
08:13:27 AM      4,50      0,00      4,50      0,00     64,00;;;;;;;;8:13:27;AM;4,5;0;4,5;0;64
08:13:37 AM      1,00      0,00      1,00      0,00     25,60;;;;;;;;8:13:37;AM;1;0;1;0;25,6
08:13:47 AM      1,30      0,00      1,30      0,00     26,40;;;;;;;;8:13:47;AM;1,3;0;1,3;0;26,4
08:13:57 AM      2,50      0,00      2,50      0,00     45,60;;;;;;;;8:13:57;AM;2,5;0;2,5;0;45,6
08:14:07 AM      2,40      0,00      2,40      0,00     57,60;;;;;;;;8:14:07;AM;2,4;0;2,4;0;57,6
08:14:17 AM      1,60      0,00      1,60      0,00     36,80;;;;;;;;8:14:17;AM;1,6;0;1,6;0;36,8
08:14:27 AM      2,00      0,00      2,00      0,00     28,80;;;;;;;;8:14:27;AM;2;0;2;0;28,8
08:14:37 AM      2,90      0,00      2,90      0,00     44,00;;;;;;;;8:14:37;AM;2,9;0;2,9;0;44
08:14:47 AM      1,50      0,00      1,50      0,00     37,60;;;;;;;;8:14:47;AM;1,5;0;1,5;0;37,6
08:14:57 AM      1,50      0,00      1,50      0,00     32,00;;;;;;;;8:14:57;AM;1,5;0;1,5;0;32
08:15:07 AM      2,80      0,00      2,80      0,00     43,20;;;;;;;;8:15:07;AM;2,8;0;2,8;0;43,2
08:15:17 AM      1,70      0,00      1,70      0,00     38,40;;;;;;;;8:15:17;AM;1,7;0;1,7;0;38,4
08:15:27 AM      2,10      0,00      2,10      0,00     42,40;;;;;;;;8:15:27;AM;2,1;0;2,1;0;42,4
08:15:37 AM      0,60      0,00      0,60      0,00     17,60;;;;;;;;8:15:37;AM;0,6;0;0,6;0;17,6
08:15:47 AM      1,90      0,00      1,90      0,00     37,60;;;;;;;;8:15:47;AM;1,9;0;1,9;0;37,6
08:15:57 AM      1,90      0,00      1,90      0,00     40,80;;;;;;;;8:15:57;AM;1,9;0;1,9;0;40,8
08:16:07 AM      2,30      0,00      2,30      0,00     58,40;;;;;;;;8:16:07;AM;2,3;0;2,3;0;58,4
08:16:17 AM      2,80      0,00      2,80      0,00     40,80;;;;;;;;8:16:17;AM;2,8;0;2,8;0;40,8
08:16:27 AM      2,30      0,00      2,30      0,00     34,40;;;;;;;;8:16:27;AM;2,3;0;2,3;0;34,4
08:16:37 AM      1,30      0,00      1,30      0,00     28,80;;;;;;;;8:16:37;AM;1,3;0;1,3;0;28,8
08:16:47 AM      1,50      0,00      1,50      0,00     38,40;;;;;;;;8:16:47;AM;1,5;0;1,5;0;38,4
