"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
07:57:13 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked;;;;;;;;;7:57:13;AM;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
08:16:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:16:03;AM;0;393;0;0,01;0,05;0
08:16:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:16:13;AM;0;393;0;0,01;0,05;0
08:16:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:16:23;AM;0;393;0;0,01;0,05;0
08:16:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:16:33;AM;0;393;0;0,01;0,05;0
08:16:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:16:43;AM;0;393;0;0,01;0,05;0
08:16:53 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:16:53;AM;1;393;0;0,01;0,05;0
08:17:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:17:03;AM;0;393;0;0,01;0,05;0
08:17:13 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:17:13;AM;1;393;0;0,01;0,05;0
08:17:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:17:23;AM;0;393;0;0,01;0,05;0
08:17:33 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:17:33;AM;0;394;0;0,01;0,05;0
08:17:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:17:43;AM;0;393;0;0,01;0,05;0
08:17:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:17:53;AM;0;393;0;0,01;0,05;0
08:18:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:18:03;AM;0;393;0;0,01;0,05;0
08:18:13 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:18:13;AM;1;393;0;0,01;0,05;0
08:18:23 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:18:23;AM;0;393;0;0,01;0,05;0
