"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
07:57:16 AM kbswpfree kbswpused  %swpused  kbswpcad   %swpcad;;;;;;;;;7:57:16;AM;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
08:12:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:12:56;AM;0;0;0;0;0
08:13:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:13:06;AM;0;0;0;0;0
08:13:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:13:16;AM;0;0;0;0;0
08:13:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:13:26;AM;0;0;0;0;0
08:13:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:13:36;AM;0;0;0;0;0
08:13:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:13:46;AM;0;0;0;0;0
08:13:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:13:56;AM;0;0;0;0;0
08:14:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:14:06;AM;0;0;0;0;0
08:14:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:14:16;AM;0;0;0;0;0
08:14:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:14:26;AM;0;0;0;0;0
08:14:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:14:36;AM;0;0;0;0;0
08:14:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:14:46;AM;0;0;0;0;0
08:14:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:14:56;AM;0;0;0;0;0
08:15:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:15:06;AM;0;0;0;0;0
08:15:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:15:16;AM;0;0;0;0;0
08:15:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:15:26;AM;0;0;0;0;0
08:15:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:15:36;AM;0;0;0;0;0
08:15:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:15:46;AM;0;0;0;0;0
08:15:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:15:56;AM;0;0;0;0;0
08:16:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:16:06;AM;0;0;0;0;0
08:16:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:16:16;AM;0;0;0;0;0
08:16:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:16:26;AM;0;0;0;0;0
08:16:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:16:36;AM;0;0;0;0;0
08:16:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:16:46;AM;0;0;0;0;0
08:16:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:16:56;AM;0;0;0;0;0
08:17:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:17:06;AM;0;0;0;0;0
08:17:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:17:16;AM;0;0;0;0;0
08:17:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:17:26;AM;0;0;0;0;0
08:17:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:17:36;AM;0;0;0;0;0
