"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
07:57:21 AM kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty;;;;;;;;;;;;;7:57:21;AM;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
08:04:31 AM   1540924   6449096     80,71    179172   4695580   2863380     35,84   5068404    951476       116;;;;;;;;;;;;;8:04:31;AM;1540924;6449096;80,71;179172;4695580;2863380;35,84;5068404;951476;116
08:04:41 AM   1540148   6449872     80,72    179172   4695588   2863144     35,83   5069076    951476        84;;;;;;;;;;;;;8:04:41;AM;1540148;6449872;80,72;179172;4695588;2863144;35,83;5069076;951476;84
08:04:51 AM   1540844   6449176     80,72    179172   4695592   2863144     35,83   5069048    951476       120;;;;;;;;;;;;;8:04:51;AM;1540844;6449176;80,72;179172;4695592;2863144;35,83;5069048;951476;120
08:05:01 AM   1540904   6449116     80,71    179172   4695604   2863620     35,84   5068440    951476       132;;;;;;;;;;;;;8:05:01;AM;1540904;6449116;80,71;179172;4695604;2863620;35,84;5068440;951476;132
08:05:11 AM   1540888   6449132     80,71    179172   4695608   2863620     35,84   5068980    951476       132;;;;;;;;;;;;;8:05:11;AM;1540888;6449132;80,71;179172;4695608;2863620;35,84;5068980;951476;132
08:05:21 AM   1541508   6448512     80,71    179172   4695612   2863188     35,83   5068888    951476        56;;;;;;;;;;;;;8:05:21;AM;1541508;6448512;80,71;179172;4695612;2863188;35,83;5068888;951476;56
08:05:31 AM   1540816   6449204     80,72    179172   4695620   2863160     35,83   5068468    951476       124;;;;;;;;;;;;;8:05:31;AM;1540816;6449204;80,72;179172;4695620;2863160;35,83;5068468;951476;124
08:05:41 AM   1540740   6449280     80,72    179172   4695628   2863396     35,84   5068684    951476       128;;;;;;;;;;;;;8:05:41;AM;1540740;6449280;80,72;179172;4695628;2863396;35,84;5068684;951476;128
08:05:51 AM   1540740   6449280     80,72    179172   4695636   2863396     35,84   5068728    951480        60;;;;;;;;;;;;;8:05:51;AM;1540740;6449280;80,72;179172;4695636;2863396;35,84;5068728;951480;60
08:06:01 AM   1540748   6449272     80,72    179172   4695644   2863912     35,84   5069084    951480       100;;;;;;;;;;;;;8:06:01;AM;1540748;6449272;80,72;179172;4695644;2863912;35,84;5069084;951480;100
08:06:11 AM   1541492   6448528     80,71    179172   4695648   2863676     35,84   5068464    951480       132;;;;;;;;;;;;;8:06:11;AM;1541492;6448528;80,71;179172;4695648;2863676;35,84;5068464;951480;132
08:06:21 AM   1541524   6448496     80,71    179172   4695652   2863676     35,84   5068472    951476        40;;;;;;;;;;;;;8:06:21;AM;1541524;6448496;80,71;179172;4695652;2863676;35,84;5068472;951476;40
08:06:31 AM   1541884   6448136     80,70    179172   4695660   2863284     35,84   5068552    951480       100;;;;;;;;;;;;;8:06:31;AM;1541884;6448136;80,7;179172;4695660;2863284;35,84;5068552;951480;100
08:06:41 AM   1541580   6448440     80,71    179172   4695668   2863432     35,84   5068956    951476       100;;;;;;;;;;;;;8:06:41;AM;1541580;6448440;80,71;179172;4695668;2863432;35,84;5068956;951476;100
08:06:51 AM   1541564   6448456     80,71    179172   4695672   2863432     35,84   5068960    951476       120;;;;;;;;;;;;;8:06:51;AM;1541564;6448456;80,71;179172;4695672;2863432;35,84;5068960;951476;120
08:07:01 AM   1542556   6447464     80,69    179172   4695676   2863692     35,84   5066984    951476       100;;;;;;;;;;;;;8:07:01;AM;1542556;6447464;80,69;179172;4695676;2863692;35,84;5066984;951476;100
