"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;
;;;;;;;;;;;
07:57:18 AM    proc/s   cswch/s;;;;;;;;7:57:18;AM;proc/s;cswch/s
08:15:18 AM      0,80    182,20;;;;;;;;8:15:18;AM;0,8;182,2
08:15:28 AM      0,90    209,00;;;;;;;;8:15:28;AM;0,9;209
08:15:38 AM      0,80    223,60;;;;;;;;8:15:38;AM;0,8;223,6
08:15:48 AM      1,10    181,30;;;;;;;;8:15:48;AM;1,1;181,3
08:15:58 AM      1,00    318,00;;;;;;;;8:15:58;AM;1;318
08:16:08 AM      0,80    233,80;;;;;;;;8:16:08;AM;0,8;233,8
08:16:18 AM      0,80    193,00;;;;;;;;8:16:18;AM;0,8;193
08:16:28 AM      0,90    390,00;;;;;;;;8:16:28;AM;0,9;390
08:16:38 AM      0,80    215,80;;;;;;;;8:16:38;AM;0,8;215,8
08:16:48 AM      0,80    165,00;;;;;;;;8:16:48;AM;0,8;165
08:16:58 AM      0,90    223,50;;;;;;;;8:16:58;AM;0,9;223,5
08:17:08 AM      0,80    208,00;;;;;;;;8:17:08;AM;0,8;208
08:17:18 AM      0,80    201,80;;;;;;;;8:17:18;AM;0,8;201,8
08:17:28 AM      0,90    431,60;;;;;;;;8:17:28;AM;0,9;431,6
08:17:38 AM      1,20    317,80;;;;;;;;8:17:38;AM;1,2;317,8
08:17:48 AM      0,80    162,00;;;;;;;;8:17:48;AM;0,8;162
08:17:58 AM      0,90    240,70;;;;;;;;8:17:58;AM;0,9;240,7
08:18:08 AM      0,90    419,88;;;;;;;;8:18:08;AM;0,9;419,88
08:18:18 AM      0,80    218,60;;;;;;;;8:18:18;AM;0,8;218,6
08:18:28 AM      0,90    379,00;;;;;;;;8:18:28;AM;0,9;379
08:18:38 AM      0,80    238,70;;;;;;;;8:18:38;AM;0,8;238,7
08:18:48 AM      1,20    172,50;;;;;;;;8:18:48;AM;1,2;172,5
08:18:58 AM      0,90    381,90;;;;;;;;8:18:58;AM;0,9;381,9
08:19:08 AM      0,80    204,10;;;;;;;;8:19:08;AM;0,8;204,1
08:19:18 AM      0,80    199,10;;;;;;;;8:19:18;AM;0,8;199,1
08:19:28 AM      0,90    348,60;;;;;;;;8:19:28;AM;0,9;348,6
08:19:38 AM      0,80    211,40;;;;;;;;8:19:38;AM;0,8;211,4
08:19:48 AM      0,80    162,40;;;;;;;;8:19:48;AM;0,8;162,4
08:19:58 AM      0,90    222,40;;;;;;;;8:19:58;AM;0,9;222,4
08:20:08 AM      1,50    344,50;;;;;;;;8:20:08;AM;1,5;344,5
08:20:18 AM      0,80    195,00;;;;;;;;8:20:18;AM;0,8;195
08:20:28 AM      0,90    193,50;;;;;;;;8:20:28;AM;0,9;193,5
08:20:38 AM      0,80    212,10;;;;;;;;8:20:38;AM;0,8;212,1
08:20:48 AM      0,80    171,00;;;;;;;;8:20:48;AM;0,8;171
08:20:58 AM      0,90    223,70;;;;;;;;8:20:58;AM;0,9;223,7
08:21:08 AM      0,80    203,50;;;;;;;;8:21:08;AM;0,8;203,5
08:21:18 AM      0,80    189,60;;;;;;;;8:21:18;AM;0,8;189,6
08:21:28 AM      0,90    215,60;;;;;;;;8:21:28;AM;0,9;215,6
08:21:38 AM      0,80    205,90;;;;;;;;8:21:38;AM;0,8;205,9
08:21:48 AM      0,80    178,70;;;;;;;;8:21:48;AM;0,8;178,7
08:21:58 AM      1,30    615,40;;;;;;;;8:21:58;AM;1,3;615,4
08:22:08 AM      1,20    241,30;;;;;;;;8:22:08;AM;1,2;241,3
08:22:18 AM      0,80    177,80;;;;;;;;8:22:18;AM;0,8;177,8
08:22:28 AM      0,90    207,80;;;;;;;;8:22:28;AM;0,9;207,8
08:22:38 AM      0,80    214,40;;;;;;;;8:22:38;AM;0,8;214,4
08:22:48 AM      0,80    178,00;;;;;;;;8:22:48;AM;0,8;178
08:22:58 AM      0,90    341,70;;;;;;;;8:22:58;AM;0,9;341,7
08:23:08 AM      0,80    209,50;;;;;;;;8:23:08;AM;0,8;209,5
08:23:18 AM      0,80    217,40;;;;;;;;8:23:18;AM;0,8;217,4
08:23:28 AM      0,90    379,00;;;;;;;;8:23:28;AM;0,9;379
08:23:38 AM      0,80    195,70;;;;;;;;8:23:38;AM;0,8;195,7
08:23:48 AM      0,80    180,90;;;;;;;;8:23:48;AM;0,8;180,9
08:23:58 AM      0,90    208,60;;;;;;;;8:23:58;AM;0,9;208,6
08:24:08 AM      0,80    401,30;;;;;;;;8:24:08;AM;0,8;401,3
08:24:18 AM      0,80    221,00;;;;;;;;8:24:18;AM;0,8;221
08:24:28 AM      1,20    230,80;;;;;;;;8:24:28;AM;1,2;230,8
08:24:38 AM      0,90    394,30;;;;;;;;8:24:38;AM;0,9;394,3
08:24:48 AM      1,20    213,60;;;;;;;;8:24:48;AM;1,2;213,6
08:24:58 AM      0,90    205,30;;;;;;;;8:24:58;AM;0,9;205,3
08:25:08 AM      0,80    223,80;;;;;;;;8:25:08;AM;0,8;223,8
08:25:18 AM      0,80    176,70;;;;;;;;8:25:18;AM;0,8;176,7
08:25:28 AM      1,40    258,90;;;;;;;;8:25:28;AM;1,4;258,9
08:25:38 AM      0,80    202,50;;;;;;;;8:25:38;AM;0,8;202,5
08:25:48 AM      0,80    189,20;;;;;;;;8:25:48;AM;0,8;189,2
08:25:58 AM      0,90    332,30;;;;;;;;8:25:58;AM;0,9;332,3
08:26:08 AM      0,80    234,70;;;;;;;;8:26:08;AM;0,8;234,7
08:26:18 AM      0,80    162,00;;;;;;;;8:26:18;AM;0,8;162
08:26:28 AM      1,30    239,40;;;;;;;;8:26:28;AM;1,3;239,4
08:26:38 AM      0,80    345,20;;;;;;;;8:26:38;AM;0,8;345,2
08:26:48 AM      0,80    199,80;;;;;;;;8:26:48;AM;0,8;199,8
08:26:58 AM      0,90    196,40;;;;;;;;8:26:58;AM;0,9;196,4
08:27:08 AM      0,80    382,50;;;;;;;;8:27:08;AM;0,8;382,5
08:27:18 AM      1,20    446,00;;;;;;;;8:27:18;AM;1,2;446
08:27:28 AM      0,90    392,40;;;;;;;;8:27:28;AM;0,9;392,4
08:27:38 AM      0,80    185,30;;;;;;;;8:27:38;AM;0,8;185,3
08:27:48 AM      0,80    180,70;;;;;;;;8:27:48;AM;0,8;180,7
08:27:58 AM      0,90    361,30;;;;;;;;8:27:58;AM;0,9;361,3
08:28:08 AM      0,80    243,60;;;;;;;;8:28:08;AM;0,8;243,6
08:28:18 AM      0,80    205,00;;;;;;;;8:28:18;AM;0,8;205
08:28:28 AM      0,90    550,30;;;;;;;;8:28:28;AM;0,9;550,3
08:28:38 AM      1,10    262,40;;;;;;;;8:28:38;AM;1,1;262,4
08:28:48 AM      0,90    192,20;;;;;;;;8:28:48;AM;0,9;192,2
08:28:58 AM      0,90    209,80;;;;;;;;8:28:58;AM;0,9;209,8
08:29:08 AM      0,80    225,50;;;;;;;;8:29:08;AM;0,8;225,5
08:29:18 AM      0,80    186,60;;;;;;;;8:29:18;AM;0,8;186,6
08:29:28 AM      0,90    225,90;;;;;;;;8:29:28;AM;0,9;225,9
08:29:38 AM      0,80    378,00;;;;;;;;8:29:38;AM;0,8;378
08:29:48 AM      0,80    171,70;;;;;;;;8:29:48;AM;0,8;171,7
08:29:58 AM      0,90    464,50;;;;;;;;8:29:58;AM;0,9;464,5
08:30:08 AM      1,50    281,90;;;;;;;;8:30:08;AM;1,5;281,9
08:30:18 AM      0,80    180,10;;;;;;;;8:30:18;AM;0,8;180,1
08:30:28 AM      0,90    411,00;;;;;;;;8:30:28;AM;0,9;411
08:30:38 AM      0,80    223,50;;;;;;;;8:30:38;AM;0,8;223,5
08:30:48 AM      1,20    196,50;;;;;;;;8:30:48;AM;1,2;196,5
08:30:58 AM      0,90    226,70;;;;;;;;8:30:58;AM;0,9;226,7
08:31:08 AM      0,80    206,50;;;;;;;;8:31:08;AM;0,8;206,5
08:31:18 AM      1,20    212,90;;;;;;;;8:31:18;AM;1,2;212,9
08:31:28 AM      0,90    203,80;;;;;;;;8:31:28;AM;0,9;203,8
08:31:38 AM      0,80    228,90;;;;;;;;8:31:38;AM;0,8;228,9
08:31:48 AM      1,20    191,00;;;;;;;;8:31:48;AM;1,2;191
08:31:58 AM      0,90    279,90;;;;;;;;8:31:58;AM;0,9;279,9
08:32:08 AM      0,80    230,60;;;;;;;;8:32:08;AM;0,8;230,6
08:32:18 AM      0,80    200,00;;;;;;;;8:32:18;AM;0,8;200
08:32:28 AM      0,90    395,50;;;;;;;;8:32:28;AM;0,9;395,5
08:32:38 AM      0,80    244,10;;;;;;;;8:32:38;AM;0,8;244,1
08:32:48 AM      0,80    162,14;;;;;;;;8:32:48;AM;0,8;162,14
08:32:58 AM      1,20    242,30;;;;;;;;8:32:58;AM;1,2;242,3
08:33:08 AM      1,30    225,80;;;;;;;;8:33:08;AM;1,3;225,8
08:33:18 AM      0,90    224,70;;;;;;;;8:33:18;AM;0,9;224,7
08:33:28 AM      0,90    188,80;;;;;;;;8:33:28;AM;0,9;188,8
08:33:38 AM      1,20    256,10;;;;;;;;8:33:38;AM;1,2;256,1
08:33:48 AM      0,80    164,30;;;;;;;;8:33:48;AM;0,8;164,3
